Comunidad (lat),Comunidad (lng),Distancia actual (km),Alternativa (lat),Alternativa (lng),Nueva distancia (km),Diferencia (km)
15.984408,-93.328821,19.69,16.161775,-93.265022,20.98,1.29
15.984408,-93.328821,19.69,16.219122,-93.277219,26.75,7.06
16.101268,-93.540571,17.64,16.091277,-93.746286,22.93,5.29
16.17937,-95.489006,15.45,16.274917,-95.304111,23.17,7.72
16.265529,-91.66657,12.91,16.14011389,-91.57363056,17.38,4.47
16.908235,-94.071139,29.65,17.207725,-94.200669,36.32,6.67
17.22834,-96.289802,13.19,17.186133,-96.179097,13.19,0.0
17.803482,-101.435361,18.16,17.631351,-101.468121,19.51,1.35
18.086253,-91.790598,17.24,18.075181,-91.611983,19.92,2.69
18.086253,-91.790598,17.24,18.075181,-91.611983,19.92,2.69
18.147179,-96.653558,15.91,18.145528,-96.510634,15.91,0.0
18.147179,-96.653558,15.91,18.12167,-96.841756,21.14,5.23
18.209982,-91.801889,25.92,18.204531,-91.536189,29.58,3.66
18.209982,-91.801889,25.92,17.94179,-91.734885,30.77,4.85
18.209982,-91.801889,25.92,18.215742,-91.507767,32.75,6.82
18.275774,-101.080598,21.42,18.475686,-100.977713,25.03,3.61
18.331005,-102.490317,21.49,18.362625,-102.2998639,21.49,0.0
18.337629,-101.055978,17.67,18.242802,-100.891058,21.18,3.51
18.413082,-91.510316,21.97,18.204531,-91.536189,23.39,1.42
18.458199,-103.151569,34.99,18.78102875,-103.169136,35.99,1.0
18.458199,-103.151569,34.99,18.78102875,-103.169136,35.99,1.0
18.458199,-103.151569,34.99,18.78102875,-103.169136,35.99,1.0
18.458199,-103.151569,34.99,18.6,-103.501389,42.02,7.03
18.56874,-103.295163,23.22,18.7723,-103.1622444,27.06,3.84
18.56874,-103.295163,23.22,18.7723,-103.1622444,27.06,3.84
18.56874,-103.295163,23.22,18.7723,-103.1622444,27.06,3.84
18.56874,-103.295163,23.22,18.7723,-103.1622444,27.06,3.84
18.56874,-103.295163,23.22,18.78102875,-103.169136,27.48,4.26
18.56874,-103.295163,23.22,18.78102875,-103.169136,27.48,4.26
18.56874,-103.295163,23.22,18.78102875,-103.169136,27.48,4.26
18.61887,-103.185337,17.27,18.78102875,-103.169136,18.14,0.87
18.61887,-103.185337,17.27,18.78102875,-103.169136,18.14,0.87
18.61887,-103.185337,17.27,18.78102875,-103.169136,18.14,0.87
18.62678,-103.296998,22.08,18.78102875,-103.169136,22.3,0.23
18.62678,-103.296998,22.08,18.78102875,-103.169136,22.3,0.23
18.62678,-103.296998,22.08,18.78102875,-103.169136,22.3,0.23
18.62678,-103.296998,22.08,18.6,-103.501389,22.95,0.87
18.711985,-103.317254,18.19,18.7723,-103.1622444,18.52,0.32
18.711985,-103.317254,18.19,18.7723,-103.1622444,18.52,0.32
