Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,ID Alternativa 2,Coordenadas Alternativa 2,ID Alternativa 3,Coordenadas Alternativa 3
Agua de LeÃ³n,"(32.50811, -116.08828)",BN0472,57.07 km,BN4078,"(32.52188, -116.06189)",BN2139,"(32.47955, -116.18125)",BN3956,"(32.56698, -115.92931)"
La Hacienda,"(31.88160, -116.54694)",BN8329,37.44 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
La Mariposa,"(31.88160, -116.54694)",BN8329,47.41 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN7157,"(31.51361, -116.27194)"
San Juan de Dios,"(32.18726, -116.49301)",BN8351,36.83 km,BN2139,"(32.47955, -116.18125)",BN2273,"(32.11332, -116.53420)",BN0472,"(32.50811, -116.08828)"
Las Vaquillas (La CiÃ©nega),"(31.51361, -116.27194)",BN7157,53.45 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN7001,"(31.58108, -116.42171)"
El Recreo,"(31.88160, -116.54694)",BN8329,32.54 km,BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)",BN2030,"(31.85024, -116.56844)"
La Joya,"(31.88160, -116.54694)",BN8329,33.25 km,BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)",BN2030,"(31.85024, -116.56844)"
El Bashisha,"(31.88160, -116.54694)",BN8329,51.83 km,BN0004,"(31.86205, -116.54579)",BN7001,"(31.58108, -116.42171)",BN1982,"(31.90011, -116.55286)"
Rancho Prieto,"(31.13035, -116.11377)",BN4960,60.78 km,BN4152,"(31.27322, -116.18453)",BN8355,"(31.47778, -115.07000)",BN0437,"(31.32524, -116.24530)"
El Milagro,"(31.27322, -116.18453)",BN4152,40.32 km,BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)",BN7157,"(31.51361, -116.27194)"
El Pinacate,"(31.51361, -116.27194)",BN7157,54.94 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)"
Rancho San Rafael (Rancho Hussong),"(31.88160, -116.54694)",BN8329,30.72 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Rancho Viejo,"(31.51361, -116.27194)",BN7157,55.61 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN7001,"(31.58108, -116.42171)"
San Esteban,"(31.51361, -116.27194)",BN7157,43.21 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN2625,"(31.66833, -116.51389)"
Laguna Seca,"(31.51361, -116.27194)",BN7157,60.60 km,BN0472,"(32.50811, -116.08828)",BN2139,"(32.47955, -116.18125)",BN4078,"(32.52188, -116.06189)"
Los Pinos,"(31.88160, -116.54694)",BN8329,36.12 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Rancho Grijalva,"(31.51361, -116.27194)",BN7157,33.54 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)"
El CapulÃ­n,"(31.27322, -116.18453)",BN4152,48.31 km,BN0437,"(31.32524, -116.24530)",BN7157,"(31.51361, -116.27194)",BN0436,"(30.97294, -116.13394)"
Rancho Terrazas,"(31.27322, -116.18453)",BN4152,50.72 km,BN0437,"(31.32524, -116.24530)",BN7157,"(31.51361, -116.27194)",BN0436,"(30.97294, -116.13394)"
Todos Santos,"(31.27322, -116.18453)",BN4152,49.23 km,BN0437,"(31.32524, -116.24530)",BN7157,"(31.51361, -116.27194)",BN4154,"(31.05606, -116.20886)"
La Colorada,"(28.00222, -114.01083)",BS4207,149.67 km,BS0050,"(27.87727, -113.79778)",BS1170,"(27.64259, -113.44306)",BN5758,"(30.07775, -115.72728)"
Yo Kaxis,"(31.51361, -116.27194)",BN7157,58.25 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)"
Cerro Rayado [AgrÃ­cola],"(31.13035, -116.11377)",BN4960,53.60 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN0436,"(30.97294, -116.13394)"
Rancho Viento Negro (Parcela Once),"(31.27322, -116.18453)",BN4152,50.64 km,BN0437,"(31.32524, -116.24530)",BN0436,"(30.97294, -116.13394)",BN7157,"(31.51361, -116.27194)"
LÃ¡zaro CÃ¡rdenas [Cooperativa],"(31.13035, -116.11377)",BN4960,56.15 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN8355,"(31.47778, -115.07000)"
CiÃ©nega de Yorba,"(31.51361, -116.27194)",BN7157,54.97 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN8329,"(31.88160, -116.54694)"
La Pila Azul,"(31.51361, -116.27194)",BN7157,33.09 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN0437,"(31.32524, -116.24530)"
Grano de Oro,"(31.13035, -116.11377)",BN4960,55.72 km,BN4152,"(31.27322, -116.18453)",BN0436,"(30.97294, -116.13394)",BN0395,"(30.84821, -116.05146)"
Barda de Piedra [Rancho],"(31.47778, -115.07000)",BN8355,62.16 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN0436,"(30.97294, -116.13394)"
Familia GÃ³mez,"(31.13035, -116.11377)",BN4960,37.79 km,BN4152,"(31.27322, -116.18453)",BN0436,"(30.97294, -116.13394)",BN4508,"(30.97351, -116.15767)"
Los Manzanos [Centro Vacacional],"(31.51361, -116.27194)",BN7157,43.30 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN0004,"(31.86205, -116.54579)"
Teresita [Rancho],"(31.88160, -116.54694)",BN8329,31.96 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
La Estaca (Ejido 16 de Septiembre),"(31.47778, -115.07000)",BN8355,49.61 km,BN8339,"(31.71689, -115.05208)",BN2370,"(31.20850, -114.93877)",BN7177,"(31.12386, -114.90425)"
Pino Real,"(31.51361, -116.27194)",BN7157,55.03 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN0004,"(31.86205, -116.54579)"
TAGED,"(31.51361, -116.27194)",BN7157,45.77 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)"
El Potrillero,"(31.51361, -116.27194)",BN7157,55.38 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)"
El Nevado,"(31.51361, -116.27194)",BN7157,53.41 km,BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)"
Quince Hermanos,"(31.51361, -116.27194)",BN7157,44.71 km,BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)",BN6453,"(31.27800, -116.37011)"
Kenet Ranch,"(31.51361, -116.27194)",BN7157,47.04 km,BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",BN4960,"(31.13035, -116.11377)"
Arroyo Seco,"(31.88160, -116.54694)",BN8329,36.29 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Las Palmas,"(31.88160, -116.54694)",BN8329,45.74 km,BN1982,"(31.90011, -116.55286)",BN0004,"(31.86205, -116.54579)",BN5759,"(32.09417, -116.56040)"
El Verano,"(31.88160, -116.54694)",BN8329,41.09 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Casillas,"(31.88160, -116.54694)",BN8329,40.55 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Tadeo,"(31.88160, -116.54694)",BN8329,54.97 km,BN0004,"(31.86205, -116.54579)",BN6495,"(31.62261, -116.45464)",BN7001,"(31.58108, -116.42171)"
Puente Viejo,"(31.51361, -116.27194)",BN7157,43.31 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN0004,"(31.86205, -116.54579)"
La Capilla [Rancho],"(31.51361, -116.27194)",BN7157,58.22 km,BN0437,"(31.32524, -116.24530)",BN4152,"(31.27322, -116.18453)",BN7001,"(31.58108, -116.42171)"
Los Alamitos [Rancho],"(31.51361, -116.27194)",BN7157,40.78 km,BN7001,"(31.58108, -116.42171)",BN6495,"(31.62261, -116.45464)",BN2625,"(31.66833, -116.51389)"
