Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Agua de LeÃ³n,"(32.03571, -115.88922)",BN0472,"(32.50811, -116.08828)",57.07 km,BN4078,"(32.52188, -116.06189)",57.43 km,"https://www.google.com/maps/dir/32.03571,-115.889224/32.521877,-116.061888",BN2139,"(32.47955, -116.18125)",59.14 km,"https://www.google.com/maps/dir/32.03571,-115.889224/32.479547,-116.181247",BN3956,"(32.56698, -115.92931)",59.31 km,"https://www.google.com/maps/dir/32.03571,-115.889224/32.566983,-115.92931"
La Hacienda,"(31.93441, -116.21477)",BN8329,"(31.88160, -116.54694)",37.44 km,BN0004,"(31.86205, -116.54579)",37.72 km,"https://www.google.com/maps/dir/31.934406,-116.214767/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",37.83 km,"https://www.google.com/maps/dir/31.934406,-116.214767/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",39.43 km,"https://www.google.com/maps/dir/31.934406,-116.214767/31.875969,-116.564072"
La Mariposa,"(31.92542, -116.12327)",BN8329,"(31.88160, -116.54694)",47.41 km,BN0004,"(31.86205, -116.54579)",47.56 km,"https://www.google.com/maps/dir/31.925422,-116.123273/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",47.90 km,"https://www.google.com/maps/dir/31.925422,-116.123273/31.900111,-116.552861",BN7157,"(31.51361, -116.27194)",48.74 km,"https://www.google.com/maps/dir/31.925422,-116.123273/31.513611,-116.271944"
San Juan de Dios,"(32.13268, -116.16670)",BN8351,"(32.18726, -116.49301)",36.83 km,BN2139,"(32.47955, -116.18125)",38.65 km,"https://www.google.com/maps/dir/32.13268,-116.1667/32.479547,-116.181247",BN2273,"(32.11332, -116.53420)",40.97 km,"https://www.google.com/maps/dir/32.13268,-116.1667/32.113322,-116.5342",BN0472,"(32.50811, -116.08828)",42.70 km,"https://www.google.com/maps/dir/32.13268,-116.1667/32.50811111,-116.0882778"
Las Vaquillas (La CiÃ©nega),"(31.71498, -115.83609)",BN7157,"(31.51361, -116.27194)",53.45 km,BN4152,"(31.27322, -116.18453)",62.63 km,"https://www.google.com/maps/dir/31.714978,-115.836087/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",62.91 km,"https://www.google.com/maps/dir/31.714978,-115.836087/31.325244,-116.2453",BN7001,"(31.58108, -116.42171)",66.87 km,"https://www.google.com/maps/dir/31.714978,-115.836087/31.58108,-116.421705"
El Recreo,"(31.88404, -116.25468)",BN8329,"(31.88160, -116.54694)",32.54 km,BN1982,"(31.90011, -116.55286)",33.24 km,"https://www.google.com/maps/dir/31.884044,-116.254684/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",34.45 km,"https://www.google.com/maps/dir/31.884044,-116.254684/31.875969,-116.564072",BN2030,"(31.85024, -116.56844)",35.13 km,"https://www.google.com/maps/dir/31.884044,-116.254684/31.850236,-116.568441"
La Joya,"(31.88791, -116.24828)",BN8329,"(31.88160, -116.54694)",33.25 km,BN1982,"(31.90011, -116.55286)",33.93 km,"https://www.google.com/maps/dir/31.887909,-116.248285/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",35.18 km,"https://www.google.com/maps/dir/31.887909,-116.248285/31.875969,-116.564072",BN2030,"(31.85024, -116.56844)",35.89 km,"https://www.google.com/maps/dir/31.887909,-116.248285/31.850236,-116.568441"
El Bashisha,"(31.90051, -116.08177)",BN8329,"(31.88160, -116.54694)",51.83 km,BN0004,"(31.86205, -116.54579)",51.83 km,"https://www.google.com/maps/dir/31.900506,-116.08177/31.862047,-116.545791",BN7001,"(31.58108, -116.42171)",51.93 km,"https://www.google.com/maps/dir/31.900506,-116.08177/31.58108,-116.421705",BN1982,"(31.90011, -116.55286)",52.44 km,"https://www.google.com/maps/dir/31.900506,-116.08177/31.900111,-116.552861"
Rancho Prieto,"(31.38344, -115.62999)",BN4960,"(31.13035, -116.11377)",60.78 km,BN4152,"(31.27322, -116.18453)",62.94 km,"https://www.google.com/maps/dir/31.383438,-115.629989/31.273222,-116.184527",BN8355,"(31.47778, -115.07000)",63.22 km,"https://www.google.com/maps/dir/31.383438,-115.629989/31.477777,-115.07",BN0437,"(31.32524, -116.24530)",68.80 km,"https://www.google.com/maps/dir/31.383438,-115.629989/31.325244,-116.2453"
El Milagro,"(31.45042, -115.86866)",BN4152,"(31.27322, -116.18453)",40.32 km,BN0437,"(31.32524, -116.24530)",44.18 km,"https://www.google.com/maps/dir/31.450418,-115.868664/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",44.88 km,"https://www.google.com/maps/dir/31.450418,-115.868664/31.13035,-116.113766",BN7157,"(31.51361, -116.27194)",45.44 km,"https://www.google.com/maps/dir/31.450418,-115.868664/31.513611,-116.271944"
El Pinacate,"(31.65213, -115.79821)",BN7157,"(31.51361, -116.27194)",54.94 km,BN4152,"(31.27322, -116.18453)",60.24 km,"https://www.google.com/maps/dir/31.652129,-115.798209/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",61.65 km,"https://www.google.com/maps/dir/31.652129,-115.798209/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",67.88 km,"https://www.google.com/maps/dir/31.652129,-115.798209/31.13035,-116.113766"
Rancho San Rafael (Rancho Hussong),"(31.89313, -116.27119)",BN8329,"(31.88160, -116.54694)",30.72 km,BN0004,"(31.86205, -116.54579)",30.76 km,"https://www.google.com/maps/dir/31.893132,-116.271188/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",31.37 km,"https://www.google.com/maps/dir/31.893132,-116.271188/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",32.66 km,"https://www.google.com/maps/dir/31.893132,-116.271188/31.875969,-116.564072"
Rancho Viejo,"(31.73988, -115.82657)",BN7157,"(31.51361, -116.27194)",55.61 km,BN4152,"(31.27322, -116.18453)",65.47 km,"https://www.google.com/maps/dir/31.739876,-115.826574/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",65.60 km,"https://www.google.com/maps/dir/31.739876,-115.826574/31.325244,-116.2453",BN7001,"(31.58108, -116.42171)",68.57 km,"https://www.google.com/maps/dir/31.739876,-115.826574/31.58108,-116.421705"
San Esteban,"(31.83073, -116.04812)",BN7157,"(31.51361, -116.27194)",43.21 km,BN7001,"(31.58108, -116.42171)",50.02 km,"https://www.google.com/maps/dir/31.830725,-116.048116/31.58108,-116.421705",BN6495,"(31.62261, -116.45464)",50.84 km,"https://www.google.com/maps/dir/31.830725,-116.048116/31.622611,-116.454638",BN2625,"(31.66833, -116.51389)",54.91 km,"https://www.google.com/maps/dir/31.830725,-116.048116/31.668333,-116.513888"
Laguna Seca,"(31.94861, -115.94472)",BN7157,"(31.51361, -116.27194)",60.60 km,BN0472,"(32.50811, -116.08828)",64.30 km,"https://www.google.com/maps/dir/31.948611,-115.944722/32.50811111,-116.0882778",BN2139,"(32.47955, -116.18125)",64.70 km,"https://www.google.com/maps/dir/31.948611,-115.944722/32.479547,-116.181247",BN4078,"(32.52188, -116.06189)",65.14 km,"https://www.google.com/maps/dir/31.948611,-115.944722/32.521877,-116.061888"
Los Pinos,"(31.91615, -116.22430)",BN8329,"(31.88160, -116.54694)",36.12 km,BN0004,"(31.86205, -116.54579)",36.29 km,"https://www.google.com/maps/dir/31.916154,-116.224303/31.862047,-116.545791",BN1982,"(31.90011, -116.55286)",36.62 km,"https://www.google.com/maps/dir/31.916154,-116.224303/31.900111,-116.552861",BN4950,"(31.87597, -116.56407)",38.09 km,"https://www.google.com/maps/dir/31.916154,-116.224303/31.875969,-116.564072"
Rancho Grijalva,"(31.55210, -115.97311)",BN7157,"(31.51361, -116.27194)",33.54 km,BN4152,"(31.27322, -116.18453)",38.96 km,"https://www.google.com/maps/dir/31.552101,-115.97311/31.273222,-116.184527",BN0437,"(31.32524, -116.24530)",39.44 km,"https://www.google.com/maps/dir/31.552101,-115.97311/31.325244,-116.2453",BN4960,"(31.13035, -116.11377)",49.49 km,"https://www.google.com/maps/dir/31.552101,-115.97311/31.13035,-116.113766"
El CapulÃ­n,"(31.36249, -115.75986)",BN4152,"(31.27322, -116.18453)",48.31 km,BN0437,"(31.32524, -116.24530)",54.20 km,"https://www.google.com/maps/dir/31.362493,-115.759862/31.325244,-116.2453",BN7157,"(31.51361, -116.27194)",59.44 km,"https://www.google.com/maps/dir/31.362493,-115.759862/31.513611,-116.271944",BN0436,"(30.97294, -116.13394)",60.12 km,"https://www.google.com/maps/dir/31.362493,-115.759862/30.972944,-116.133944"
Rancho Terrazas,"(31.38621, -115.74315)",BN4152,"(31.27322, -116.18453)",50.72 km,BN0437,"(31.32524, -116.24530)",56.31 km,"https://www.google.com/maps/dir/31.386209,-115.743146/31.325244,-116.2453",BN7157,"(31.51361, -116.27194)",60.55 km,"https://www.google.com/maps/dir/31.386209,-115.743146/31.513611,-116.271944",BN0436,"(30.97294, -116.13394)",63.32 km,"https://www.google.com/maps/dir/31.386209,-115.743146/30.972944,-116.133944"
Todos Santos,"(31.38890, -115.75764)",BN4152,"(31.27322, -116.18453)",49.23 km,BN0437,"(31.32524, -116.24530)",54.75 km,"https://www.google.com/maps/dir/31.3889,-115.757641/31.325244,-116.2453",BN7157,"(31.51361, -116.27194)",58.91 km,"https://www.google.com/maps/dir/31.3889,-115.757641/31.513611,-116.271944",BN4154,"(31.05606, -116.20886)",62.42 km,"https://www.google.com/maps/dir/31.3889,-115.757641/31.056055,-116.208861"
