Comunidad,Punto actual más cercano,Distancia actual (km),Alternativas (dentro de +50%)
"(25.73517, -111.71905)","(25.49053, -111.91989)",35.23 km,—
"(18.41308, -91.51032)","(18.21574, -91.50777)",21.97 km,"(18.20453, -91.53619) → 23.39 km"
"(31.72615, -107.28801)","(31.56886, -107.10501)",26.86 km,—
"(27.45836, -108.26455)","(27.39202, -108.42094)",18.91 km,—
"(27.68748, -105.85763)","(27.79247, -105.71175)",20.01 km,—
"(24.50340, -102.58270)","(24.63264, -102.77866)",26.13 km,—
"(19.01201, -101.08219)","(19.05797, -101.40989)",36.84 km,"(19.42400, -100.90378) → 49.98 km; (19.20737, -101.43131) → 44.53 km; (19.42400, -100.90378) → 49.98 km; (19.42190, -101.21420) → 47.94 km"
"(26.12616, -100.79871)","(26.13870, -100.65597)",15.95 km,—
"(23.70001, -101.32243)","(23.68528, -100.98368)",37.74 km,"(23.69119, -100.88961) → 48.19 km"
"(21.93528, -100.63474)","(22.04053, -100.73949)",16.53 km,—
"(29.60827, -111.99453)","(29.20880, -111.75971)",51.58 km,—
"(28.43446, -108.53880)","(28.16097, -108.57019)",30.64 km,"(28.16097, -108.57019) → 30.64 km; (28.16097, -108.57019) → 30.64 km"
"(26.98462, -99.59327)","(27.08839, -99.47817)",17.25 km,—
"(21.34994, -88.38999)","(21.29722, -88.27311)",14.27 km,—
"(27.74668, -113.77973)","(27.87727, -113.79778)",14.68 km,—
"(18.08625, -91.79060)","(17.94179, -91.73489)",17.24 km,"(18.07518, -91.61198) → 19.92 km; (18.07518, -91.61198) → 19.92 km"
"(27.12186, -107.14898)","(26.83303, -107.07060)",33.32 km,"(27.30113, -107.54361) → 48.25 km; (26.81886, -107.08142) → 34.56 km; (26.81174, -107.07233) → 35.56 km; (27.30113, -107.54361) → 48.25 km; (27.30113, -107.54361) → 48.25 km"
"(27.28723, -107.74598)","(27.30113, -107.54361)",22.58 km,"(27.56078, -107.81781) → 31.48 km; (27.56078, -107.81781) → 31.48 km; (27.02892, -107.73714) → 28.77 km; (27.02892, -107.73714) → 28.77 km; (27.02892, -107.73714) → 28.77 km; (27.02892, -107.73714) → 28.77 km; (27.49563, -107.89174) → 28.31 km"
"(22.31876, -103.72846)","(22.30032, -103.55819)",19.07 km,"(22.30032, -103.55819) → 19.07 km; (22.30032, -103.55819) → 19.07 km; (22.30032, -103.55819) → 19.07 km"
