Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),Coordenadas Comunidad,ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Agua de LeÃ³n,"(32.50811, -116.08828)",BN0472,57.07 km,"(32.50811, -116.08828)",BN4078,"(32.52188, -116.06189)",3.31 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.52188,-116.06189",BN2143,"(32.56794, -116.07161)",6.91 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.56794,-116.07161",BN9023,"(32.55386, -116.02889)",8.35 km,"https://www.google.com/maps/dir/32.50811,-116.08828/32.55386,-116.02889"
La Hacienda,"(31.88160, -116.54694)",BN8329,37.44 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
La Mariposa,"(31.88160, -116.54694)",BN8329,47.41 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
San Juan de Dios,"(32.18726, -116.49301)",BN8351,36.83 km,"(32.18726, -116.49301)",BN4814,"(32.24417, -116.55506)",9.37 km,"https://www.google.com/maps/dir/32.18726,-116.49301/32.24417,-116.55506",BN2273,"(32.11332, -116.53420)",9.42 km,"https://www.google.com/maps/dir/32.18726,-116.49301/32.11332,-116.53420",BN5759,"(32.09417, -116.56040)",12.79 km,"https://www.google.com/maps/dir/32.18726,-116.49301/32.09417,-116.56040"
Las Vaquillas (La CiÃ©nega),"(31.51361, -116.27194)",BN7157,53.45 km,"(31.51361, -116.27194)",BN7001,"(31.58108, -116.42171)",18.29 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.58108,-116.42171",BN0437,"(31.32524, -116.24530)",21.18 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.32524,-116.24530",BN6495,"(31.62261, -116.45464)",23.68 km,"https://www.google.com/maps/dir/31.51361,-116.27194/31.62261,-116.45464"
El Recreo,"(31.88160, -116.54694)",BN8329,32.54 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN2030,"(31.85024, -116.56844)",4.23 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.85024,-116.56844"
La Joya,"(31.88160, -116.54694)",BN8329,33.25 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN2030,"(31.85024, -116.56844)",4.23 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.85024,-116.56844"
El Bashisha,"(31.88160, -116.54694)",BN8329,51.83 km,"(31.8816, -116.54694)",BN4950,"(31.87597, -116.56407)",2.01 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.87597,-116.56407",BN1982,"(31.90011, -116.55286)",2.16 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.90011,-116.55286",BN0004,"(31.86205, -116.54579)",2.18 km,"https://www.google.com/maps/dir/31.8816,-116.54694/31.86205,-116.54579"
Rancho Prieto,"(31.13035, -116.11377)",BN4960,60.78 km,"(31.13035, -116.11377)",BN4154,"(31.05606, -116.20886)",13.43 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.05606,-116.20886",BN0436,"(30.97294, -116.13394)",17.67 km,"https://www.google.com/maps/dir/31.13035,-116.11377/30.97294,-116.13394",BN4152,"(31.27322, -116.18453)",17.75 km,"https://www.google.com/maps/dir/31.13035,-116.11377/31.27322,-116.18453"
El Milagro,"(31.27322, -116.18453)",BN4152,40.32 km,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)",8.90 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.32524,-116.24530",BN4960,"(31.13035, -116.11377)",17.75 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.13035,-116.11377",BN6453,"(31.27800, -116.37011)",20.67 km,"https://www.google.com/maps/dir/31.27322,-116.18453/31.27800,-116.37011"
