name,address,lat,lng,rating,userRatingCount,priceLevel,website,genAI
Tacos De Torres,"Chemax 15-165, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX, Mexico",19.2918765,-99.2226128,3.9,512,PRICE_LEVEL_INEXPENSIVE,,
Taqueria Las Delicias,"Chemax, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX, Mexico",19.291827899999998,-99.22258169999999,3.8,97,,,
Tacos Gerry,"Línea Uno, Línea 4 &, Emilio Portes Gil, Tlalpan, 14110 Ciudad de México, CDMX, Mexico",19.3062012,-99.2187936,5,4,,,
Los Señores Del Carbón Asadero Norteño,"Línea Uno, Rincón del Pedregal, Tlalpan, 14110 Ciudad de México, CDMX, Mexico",19.3060373,-99.2194748,4.4,799,PRICE_LEVEL_INEXPENSIVE,,
Tacos El Periférico,"Rcda. de Uranio, Emilio Portes Gil, Tlalpan, 14150 Ciudad de México, CDMX, Mexico",19.3054643,-99.2212931,4.2,214,,,
"Tacos ""Don Tonchis""","Col, Yucalpeten, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX, Mexico",19.2938509,-99.2221648,4.4,1010,PRICE_LEVEL_INEXPENSIVE,,
Taqueria Los Cuñados,"Tunkas, Popular Santa Teresa, Tlalpan, 14160 Ciudad de México, CDMX, Mexico",19.3002972,-99.2239587,4.6,10,,,
Tacos Don Manolito Santa Teresa,"Rcda. de Uranio 55, Los Framboyanes, Tlalpan, 14150 Ciudad de México, CDMX, Mexico",19.3051025,-99.2215038,3.9,72,PRICE_LEVEL_MODERATE,,https://tacosdonmanolito.com/sucursales/
Antojitos y quesadillas chayito,"Izamal #73, Popular Santa Teresa, Tlalpan, 14160 Ciudad de México, CDMX, Mexico",19.3006261,-99.2239368,5,6,,,
Antojitos Flor,"Akil 13, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX, Mexico",19.2973659,-99.2229071,5,1,,,
TACOS FATY,"Huehuetán 40, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX, Mexico",19.294681,-99.21941749999999,4.7,25,,,
PIbil & Taco,"Acanceh 147-Local E, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX, Mexico",19.291004300000004,-99.218875,4.8,19,,,https://www.facebook.com/Pibil-Taco-109795770847834
Tacos De Canasta La Pirámide,"Línea 4, Emilio Portes Gil, Tlalpan, 14200 Ciudad de México, CDMX, Mexico",19.3061942,-99.21837409999999,4.4,1290,PRICE_LEVEL_INEXPENSIVE,,
Cantina El Afán,"Carr. Picacho-Ajusco 4237, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.304354999999997,-99.20509039999999,4.2,668,PRICE_LEVEL_MODERATE,,
El Lobo Taquería Jardines,"Carr. Picacho-Ajusco 160, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.3010842,-99.2079483,4.1,341,,,http://www.ellobotaqueria.com/
Masa y salsa,"Periférico sur, Plaza Pta del Sol, Carr. Picacho-Ajusco loc. 16, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.3026768,-99.2073286,,,,,
Taqueria El Corralito,"Periferico Sur 4237, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.304124899999998,-99.20509829999999,1,1,,,
Antigua Hacienda,"Jardines del Ajusco, Tlalpan, 14219 Ciudad de México, CDMX, Mexico",19.2950932,-99.2105385,3.8,4,,,
EL PESCADITO PICACHO-AJUSCO,"Carr. Picacho-Ajusco 154, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.298932900000004,-99.20959669999999,4.3,110,,,https://elpescadito.mx/
Taquería Jacaranda,"Carr. Picacho-Ajusco Km 1.5, Jardines del Ajusco, Tlalpan, 14219 Ciudad de México, CDMX, Mexico",19.295327,-99.209999,2.6,5,,,
Johnny Rockets Six Flags México,"Carretera Picacho Al Ajusco, Km.1.5, Jardines del Ajusco, Tlalpan, 14200 Ciudad de México, CDMX, Mexico",19.29496,-99.2096414,3.6,51,,,
El Camioncito,"Picacho Ajusco 4271, Equipamiento Periférico Picacho Ajusco Canal 13, Tlalpan, 01900 Ciudad de México, CDMX, Mexico",19.3046988,-99.2075445,4.3,1019,,,
Mr. Taco & Salads,"Chedraui - Ajusco, Carr. Picacho-Ajusco 175, Equipamiento Periférico Picacho Ajusco Canal 13, Tlalpan, 14200 Ciudad de México, CDMX, Mexico",19.298911699999998,-99.211899,2.5,31,,,
De Colores - cafetería y restaurante,"Carr. Picacho-Ajusco 124, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.2997892,-99.2089737,4.9,20,,,
Tacos de canasta Balderas,"14210 4237 Salida aperiferico, Jardines en la Montaña, Tlalpan, 14210 Ciudad de México, CDMX, Mexico",19.304511899999998,-99.2051569,,,,,
"TACOS "" EL PAPI""","Periferico Sur 7650, Insurgentes Cuicuilco, Tlalpan, 04530 Ciudad de México, CDMX, Mexico",19.302762599999998,-99.1898824,4.3,52,,,
La Cervecería de Barrio,"Primer piso en el área de restaurantes, Plaza Perisur, Anillo Perif. 4690, Jardines del Pedregal de San Ángel, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.304649299999998,-99.191228,4.3,1788,PRICE_LEVEL_MODERATE,,http://www.lacerveceriadebarrio.mx/
Tacos,"Camino Sta. Teresa 689, Parques del Pedregal, Tlalpan, 14010 Ciudad de México, CDMX, Mexico",19.2967983,-99.192162,4.5,36,,,
Los Canarios,"Anillo Perif. Blvd. Adolfo López Mateos 4690, Insurgentes Cuicuilco, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.3048423,-99.1907155,4.3,2836,PRICE_LEVEL_EXPENSIVE,,http://www.loscanarios.com.mx/
Tacos y Burger Grill,"Acantilado 47, Insurgentes Cuicuilco, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.305611199999998,-99.18768519999999,,,,,
Taquería El Califa (Terraza Palacio Perisur),"Anillo Perif. 4690, Insurgentes Cuicuilco, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.303946099999997,-99.19201679999999,3.5,6,,,
Los Panchos,"Anillo Perif. 4690, Jardines del Pedregal de San Ángel, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",19.303976499999997,-99.1916979,3.7,18,,,
Tacos de Periférico,"Parques del Pedregal, Tlalpan, 14010 Ciudad de México, CDMX, Mexico",19.302274999999998,-99.1891119,3.6,5,,,
Tacos Perisur,"Acantilado 1, Insurgentes Cuicuilco, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.305664999999998,-99.187657,4.5,19,,,
La Casa Del Pastor Perisur,"Primer piso en el área de restaurantes, Plaza Perisur, Anillo Perif. 4690, Insurgentes Cuicuilco, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.304941,-99.1911058,4.2,3189,PRICE_LEVEL_EXPENSIVE,,
Tacos La Carpa,"Av. Centro Comercial 190, Insurgentes Cuicuilco, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.3055295,-99.18759689999999,4.1,244,,,https://www.facebook.com/TacosLaCarpaOficial/
Tacos de canasta,"14010, C. Alborada 457B, Parques del Pedregal, Tlalpan, 14010 Ciudad de México, CDMX, Mexico",19.3002127,-99.19241330000001,4.2,727,,,
